ad_id,text,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE
x_441711910139035,"As the election winds down, my heartfelt gratitude goes out to the people here in Ohio's 32nd Senate District.  Your smiles and warm reception to my candidacy will never be forgotten.  If given the honor to serve as your next Senator, I will work hard to represent your views.   This Tuesday, October 6th is the start of early in-person voting and absentee voting.If you plan on voting before November 3rd you can contact your county board of elections for times and locations and how you can vote by mail.  Trumbull County Board of Elections - Phone: (330) 369-4050 Ashtabula County Board of Elections - Phone: (440) 279-2030 Geauga County Board of Elections - Phone: (440) 576-6915  God bless, Sandy",0,0,0,1,0,0,0,0,1
x_628414214495041,"We're in the final stretch and this is our last chance to flip this Senate seat, folks. We must win Iowa to win back the majority of the United States Senate. Mitch McConnell and his allies know this, and that’s why they’re spending more than $80 MILLION on nasty, false attacks against us. But with the support of this grassroots team, we can take them on. Ringo and I are grateful for your support! Chip in right away >> https://bit.ly/2Tj04Nu",1,0,0,0,0,0,0,0,0
x_820133075465935,Election Day is around the corner! Find your polling place now and get ready to vote!,0,0,0,1,0,0,0,0,1
x_1441034402747780,"BREAKING: Martha McSally is OUTRAISING Mark Kelly for the first time with the help of Mitch McConnell.  MATCH: Mark Kelly needs your help to catch up -- 3X MATCH has been ACTIVATED! We're still 3,281 donations short of our midnight deadline. If flipping the Senate matters to you, we need your 3x matched donation TODAY.",1,0,0,0,0,0,0,0,0
x_1000163177074548,Request your ballot today!,0,0,0,1,0,0,0,0,0
x_1130804520650763,You can vote TODAY. Go to your local clerk's office to cast your ballot and make your voice heard!,0,0,0,1,0,0,0,0,1
x_1106605686421358,"Katie Porter needs YOUR help! She was the MOST vulnerable House Democrat calling for impeachment hearings -- and now Republicans are out for revenge. The GOP just launched vicious attack ads to SINK her campaign, and they’re working! It’s crucial that we get a WAVE of donations so we can protect vulnerable Democrats like Katie in 2020.  Rush a donation immediately →",1,0,0,0,0,0,0,0,0
x_1629371207240283,"We are well past the time for incremental change. I’m standing with Senator Markey, Congresswoman Haaland, Sunrise Movement, & more to launch our THRIVE Agenda: ✅Fight climate change ✅Create millions of union jobs ✅Invest in Black, Brown, and Indigenous communities ✅Fight environmental injustice ✅Reinvest in public institutions #TimeToThrive",0,0,0,0,0,0,1,0,0
x_2243798652430616,"🚨 BREAKING: Trump Nominates Amy Coney Barrett To Supreme Court vacancy.  Donald Trump and Mitch McConnell are plotting to put another conservative extremist on the Supreme Court in a matter of WEEKS! They want to FLOOD the Court with radical conservatives like Brett Kavanaugh -- we can’t let this happen! So we need 100,000 Good Democrats to sign our urgent petition and demand the Senate BLOCK Trump’s SCOTUS Nominee.   PLEASE -- They will not be able to ignore 100,000 voters! SIGN NOW TO DEMAND THE SENATE BLOCK Amy Coney Barrett >>",0,0,0,0,0,0,1,0,0
x_1266718660342080,"Why did the Post-Dispatch say Ann Wagner, ""stinks of swamp politics""?  Because her campaign's taken millions from special interests, more than almost anyone else in Congress.",0,0,0,0,0,0,0,1,1
x_339662640735086,"Backed by over $4.4M from the gun lobby and another $400K from Big Pharma, Thom Tillis is hard at work for special interests. He’s voted against background checks on all gun sales and helped to gut healthcare.",0,0,0,0,0,0,0,1,1
x_224901818802078,"Three years ago, the Trump administration withdrew from the Paris Agreement and gave up the opportunity to lead.",0,0,0,0,0,0,1,1,0
x_688794628742027,"When she thinks you're not paying attention, Barbara Bollier will strip Kansas of its guns. Don't let Barbara Bollier's dream become reality. Defeat Barbara Bollier.",0,0,0,0,0,0,0,1,1
x_689834555072084,"Joe Biden and Kamala Harris will protect our access to health care. Meanwhile, Donald Trump is working to dismantle the ACA — in the middle of a pandemic. We need leaders who put our health first and will fight for us. Vote Biden-Harris today.",0,0,0,0,0,0,0,1,1
x_1012192219252533,Donald Trump has already had four years as President. There's not much to show for it.,0,0,0,0,0,0,0,0,1
x_1003879783449785,"Hey, Fellow Trump Supporter! 🇺🇸  President Trump needs YOUR help to protect our amazing country from Sleepy Joe!   Show your support by showing your love for your favorite president!   Order Here:  https://offers.conservativecollections.com/my-president-coin",0,0,1,0,0,0,0,0,0
x_1056112948175686,The Republican Senate has sat on a COVID relief stimulus bill for the American people for 4 months. Now they are scurrying to help Donald Trump install his hand-picked judge for a lifetime seat on the Supreme Court before the election.   The American people cannot wait. Nothing should come before passing the HEROES COVID relief bill to protect the health and economic well-being of our communities. Call Senator Toomey now: (888) 885-1754,0,1,0,0,0,0,0,1,0
x_378992813472583,Kathleen Williams signaled support for a government-run health care system that could kill your health insurance. Williams backs a bureaucratic approach that could wipe out rural hospitals.,0,0,0,0,0,0,0,1,1
x_274001413775290,The Radical Left is Embracing Anti-Catholic Bigotry to Stop Amy Coney Barrett.  And Joe Biden is Too Weak to Stop Them.,0,0,0,0,0,0,0,1,1
x_333570157934763,"President Donald Trump and Vice President Mike Pence are committed to getting our economy back on track, defending our Second Amendment rights, and protecting our freedoms from the radical left. Can they count on your vote this Election Day?",0,0,0,1,0,0,1,1,0
x_2699767003572617,"Chris Sununu calls himself ""a Trump guy, through and through,"" and the similarities go beyond words. Just like Trump, Sununu has filled our state's highest court with conservative justices, and now is holding the Chief Justice seat open for a conservative, anti-choice activist. And this is just his latest attack on reproductive rights.  If we're going to protect reproductive rights, we need to defeat Sununu and Trump this November. Contribute $5 or more right away >> https://bit.ly/3nlLp1S",1,0,0,0,0,0,0,0,1
x_1029178837536804,"It’s Nancy Pelosi. I’m reaching out to you directly with an urgent update. Right now, Donald Trump is crisscrossing the country spewing disgusting lies and insults at our Democrats and me in an attempt to defeat our Majority. But I know if I get 500 grassroots gifts before midnight, I can make his insults BACKFIRE. Please, your support couldn’t come at a more critical time. Will you rush in $5, $15, or whatever you can afford before midnight to fortify our Majority?",1,0,0,0,0,0,0,0,0
x_1569398486572408,"D.C. Republicans have launched new attack ads, right out of Trump's playbook, where they flat-out lie about Dan's record. We can't let them get away with it.  We have a real shot at beating Chris Sununu, but we need your help. Chip in $5 or more to help Dan fight back against the attacks >> https://bit.ly/3izGPtg",1,0,0,0,0,0,0,0,0
x_251770379592819,"Cal Cunningham wants a $15 minimum wage, and supports afforable college and affordable healthcare. Pledge to vote.",0,0,0,0,0,0,0,1,1
x_2024322774365172,The end of the month deadline is quickly approaching! Show your support for David by purchasing a t-shirt (either navy blue or hand bleach-dyed) and helping us reach our fundraising goals!  www.zuckermanforvt.com/merchandise,0,0,1,0,0,0,0,0,0
x_1010055502829099,"Don’t scroll away just yet — this is important. We’ve been saying recently that our internal polls are showing a much, much closer race than the media would have you think. Now we are seeing a few public polls also say that this is going to come down to the wire:  Michigan: Trump 47, Biden 46 (-1) Arizona: Trump 48, Biden 44 (-4) Florida: Trump 48, Biden 46 (-2)  I need your help right now. Please, rush a $25 donation or as much as you can spare to our last-minute advertising and outreach efforts so we can defeat Trump and the GOP nationwide. Your donation could be the one that tips us over the line to victory in one of these critical battlegrounds.",1,0,0,0,0,0,0,0,0
x_1017622495375205,"With only 8 short weeks left until the election, we need your help to defeat Trump and Trumpism.   Will you donate $13 today to make sure our ads stay on air until election day?",1,0,0,0,0,0,0,0,0
x_1476867962513920,The UA supports Joe Biden for President. Joe Biden will fight for UA families.,0,0,0,0,0,0,0,1,1
x_632560494100333,🇺🇸 Show Support for President Trump ✔️ Limited Edition Michigan Trump Flag 👉 Quantities Extremely Limited 🦅 Ships From The Good Old USA,0,0,1,0,0,0,0,0,0
x_1029826710773757,"""Biden will work to rebuild the bonds of trust between police and the communities they are sworn to serve. He’ll invest in community policing – to get more cops out of their cruisers, walking the streets, and developing real relationships with people in every neighborhood. It's Trump's budget that cuts $400 million from state and local law enforcement.""",1,0,0,0,0,0,0,0,1
x_1030840154045263,"Listen to Kim, a lifelong Republican, explain why she's not voting for Donald Trump.  There are millions of Republicans who, like Kim, refuse to support a second term for President Trump.  His cruelty, incompetence and lack of respect for conservative values make him unfit to lead this nation.  Listen to their stories.",0,0,0,0,0,0,0,1,1
x_1736484099859235,Hear just a few reasons why you should vote for me under a successful recall or the 2022 election.  #SavingWisconsinTogether  https://wichmannforgovernor.com/donations/initial/,0,0,0,0,0,0,0,1,1
x_2625016774387429,"Last year - a gunman, armed with a high-capacity rifle, gunned down nine people in Dayton and injured 17 others in just 41 seconds.   Mike Turner failed us, siding with the NRA, when he voted against universal background checks. I’m running for Congress because I’ve had enough of politicians who are too afraid to act.",0,0,0,0,0,0,0,1,1
x_1013316009114624,America is in crisis--and Donald Trump keeps making it worse. We need real leadership now.,0,0,0,0,0,0,0,1,1
x_1788002064672160,"The son of a police officer, and father to another, Representative Tom Patton fights to keep Cuyahoga County safe.",0,0,0,0,0,0,0,1,1
x_2703293283215773,DC Liberals want Jon Ossoff to help them pack the courts with anti-gun activists. Defeat Jon Ossoff.,0,0,0,0,0,0,0,1,0
x_1216330048746085,"""Without the ACA, I'm living on borrowed time."" Millions of Americans depend on the health care law Trump wants to repeal.",0,0,0,0,0,0,0,1,1
x_1002705966859663,"Joe Biden's Plan to invest in Black America includes:     ✅ $15,000 credit to first time home buyers.   ✅ Drive BILLIONS of dollars towards Black owned businesses.   ✅ Equal pay, labor rights, and safer workplaces for Black workers.   ✅ Invest $5 billion in HBCUs.   Joe has a plan to invest in us.",0,0,0,0,0,0,0,1,0
x_2634425220141150,"Every American, whether Black, white, or Asian, wants to feel empowered. It may feel like our political system is broken, but it can change if we step up. It’s more important than ever to vote and elect leaders like Joe Biden who care about our communities and our futures. Will you take the pledge today?",0,0,0,1,0,0,1,0,1
x_323722382257172,"With Election Day just a few weeks away, my team just released our first television ad.  I hope you can take a thirty seconds to watch it and chip in a few bucks to help us keep it running.",1,0,0,0,0,0,0,0,0
x_1003968500064870,"JFK was the last Democrat to win the presidency without winning the state of Ohio. It’s a critical battleground state because of its huge number of electoral votes. Unfortunately, we just received a brand new poll showing Trump up +5 in Ohio. We have to turn those numbers around, and the best way we know how is to increase our outreach and advertising. Can you contribute $10 right now to help us win Ohio, defeat Trump, and beat the GOP up and down the ballot? Anything you can give right now makes a big difference heading into the final weeks.",1,0,0,0,0,0,0,0,0
x_356322092402886,SB335 would have created the largest tax cut in WV history.,0,0,0,0,0,0,0,1,1
x_1096661127417024,🇺🇸 Show Support for President Trump ✔️ Back The Blue Trump 2020 Flag 👉 Quantities Extremely Limited 🦅 Ships From The Good Old USA,0,0,1,0,0,0,0,0,0
x_351039936121258,Donald Trump boasts about the beautiful stock market because he only cares about himself and his rich friends. The real measure of economic well-being is felt much closer to home. It's whether or not families can keep up with their bills and have a little left over. It's whether our kids have the opportunity to realize their dreams. Pennsylvania needs a real leader who has a plan for COVID relief and economic recovery — and cares about us. Pennsylvania families can count on Joe Biden.,0,0,0,0,0,0,0,1,1
x_2598993090410761,"Biden, Schumer, and their D.C. radicals are counting on Cal Cunningham to help them dismantle your gun rights. Defend your rights. Defeat Cal Cunningham.",0,0,0,0,0,0,0,1,1
x_1224579954558534,"🎉 Do you want to know your future? 🎉  I mean, like c’mon, who wouldn’t?🤔  ✅LET DONALD TRUMP TELL YOU YOUR FUTURE – Will your future be great again? Just ask President Predicto! His uncanny knowledge of the future will make your jaw drop, as he talks back to you to answer your YES or NO questions.🇺🇸  ✅AMAZING audio quality! It's like having the President in the same room with you!🇺🇸  ✅BRILLIANT! Trump’s REAL VOICE reveals your destiny, Trump Style! 🇱🇷  ✅EXCITING!  You'll be in awe of President Predicto’s mystical powers with 25 possible answers.🇺🇸  ✅FUNNY! As a fortune teller, only President Predicto can foresee what your future will hold, so get ready for some comical, spine-tingling surprises.🇺🇸  ✅SUPERIOR PERFORMANCE! Batteries Included permits you to listen to Trump talk the moment he arrives!🇺🇸",0,0,1,0,0,0,0,1,0
x_1690082884483522,"Of course Black lives matter, but Black Lives Matter Inc. is not about saving Black lives. It’s about killing the American way of life, destroying the traditional family, and replacing free markets with communism. Yet Joe Biden and Gary Peters bend a knee to their agenda.",0,0,0,0,0,0,0,1,1
x_1185309485186978,"Claudia Tenney is looking out for corporate special interests -- NOT for upstate New York.   💸  In Congress, she took campaign money from the insurance industry, then voted for measures to increase our healthcare costs.   💸  She also gave her corporate donors billions in tax breaks while threatening Medicare and Social Security.",0,0,0,0,0,0,0,1,1
x_1019668018470397,"Trump is a coward, which is why he wouldn’t understand our veterans’ sacrifices. Dan Crowley is only one of thousands who became a POW and was forced into brutal slave labor.    And Trump only makes a mockery of it. This is not the President we need leading this country. Donate now to get Trump out of office.",1,0,0,0,0,0,0,0,0
x_384815496246874,I'm Jonathan Wichmann and I'm running for Wisconsin Governor in 2022 as a Republican Conservative. I'm a successful small business owner and have a sound understanding of economic principles that benefit the working class. Get to know me and what I stand for inside this audio interview.,0,0,0,0,0,0,0,0,1
x_1379116105813087,"When I was 12, I was falsely accused of shoplifting in a grocery store. My experience dealing with structural inequality as a black kid is the same as many, and I'm running for U.S. Senate to level the playing field for all working Georgians.",1,0,0,0,0,0,0,0,1
x_1028132594294084,"Rachel Maddow: ""McConnell vows Trump's Supreme Court Nominee Will Receive A Vote on the Floor of the U.S. Senate""  This is a hard post to write. But Democrats are about to lose our shot at winning Mitch McConnell’s Senate seat... and saving the Supreme Court. Almost no one -- seriously, NO ONE -- has donated to hit our 2020 goal to defeat Mitch McConnell. If we miss this goal, we’ll have to end our Democratic Voter Turnout campaign in Kentucky. McConnell will WIN. So this is your FINAL chance to do the right thing! Democrats are 500%-MATCHING all donations. Chip in NOW →",1,0,0,0,0,0,0,0,0
x_2153554268110211,"Joe Biden has a plan to:  ☑️ Make healthcare affordable for all Americans ☑️ Protect pre-existing conditions and expand Medicaid ☑️ Get us all back to work, safely.",0,0,0,0,0,0,0,1,1
x_1267165356971200,Rural Kansas hospitals would be forced to close under Barbara Bollier’s health care plan. She sides with the radical liberals in Washington. Not you.,0,0,0,0,0,0,0,1,1
x_1033782430420203,You need to be able to defend your family. Defeat Joe Biden.,0,0,0,0,0,0,0,1,1
x_262133038515445,Joe Biden tried to force the Little Sisters of the Poor to provide abortion coverage.,0,0,0,0,0,0,0,1,1
x_1034545556942880,Sarah Huckabee Sanders here. It only takes 4 seats to give Chuck Schumer the Senate - we can’t let that happen! Chip in today to protect Trump’s Senate Majority.,1,0,0,0,0,0,0,0,0
x_1033656570404144,"If Mitch McConnell LOSES in 2020, Democrats are guaranteed to take back the Senate! He’ll do anything to fulfill Trump’s horrible agenda, and we’ve had ENOUGH. It’s time to ruin his career for good! So we’ve set an ambitious monthly goal to raise $50,000. This will enable us to kickstart our highly targeted voter turnout operation to defeat Mitch McConnell. Rush a 4X-MATCHED donation:",1,0,0,0,0,0,0,0,0
x_1256128054754871,Florida is suffering needlessly under Donald Trump. It's time to put an experienced professional in charge of our country. It's time for Joe Biden.,0,0,0,0,0,0,0,0,1
x_958923664589494,"Don Bacon is a bi-partisan champion who knows how to work across the aisle to deliver results for hard-working Nebraskans.  Make your plan to vote for Don Bacon through early voting, by mail, or at the polls on November 3!  Voting info → https://sos.nebraska.gov/  PW ➡️  CUsVote",0,0,0,1,0,0,0,1,1
x_1672144719607488,"❗Cory Gardner is spreading COVID, not jobs.    He told us we'd be back up and running by Easter. The only thing he brought back from Washington is COVID not jobs.    Together, we can vote for John Hickenlooper and have jobs and a safe recovery in our state.   ➡️ Make your plan to vote by or on Tuesday November 3rd >> https://votewith.us/states",0,0,0,1,0,0,0,1,1
x_1610425279137951,"""I saw on the news that Senator Daines helped set up factories in China. Then Senator Daines voted to protect tax breaks for companies that send jobs to China. Senator Daines is always looking out for powerful special interests."" -- Morton",0,0,0,0,0,0,0,1,1
x_2715563542043462,"Jon Hoadley voted against law enforcement and with Defund the Police extremists, opposing a resolution that discouraged local governments from defunding or abolishing their police departments.",0,0,0,0,0,0,0,1,1
x_534726837337469,Should Trump seek a replacement for Supreme Court Justice Ruth Bader Ginsberg IMMEDIATELY?,0,0,0,0,0,0,0,1,0
x_1016211932184018,"Joe Biden and Tina Smith support biological men using women’s bathrooms, changing rooms, locker rooms, and other facilities. President Trump and Jason Lewis oppose biological men using women’s bathrooms, changing rooms, locker rooms, and other facilities.  Make the right choice for Minnesota. Return your absentee ballot application today!",0,0,0,0,0,0,0,0,1
x_1061600060928672,"Un líder une a las personas, no las divide.  Un líder lucha por las familias, no las destruye. Un líder no propaga el odio.  Sí queremos un verdadero líder, necesitamos elegir a Joe Biden.",0,0,0,0,0,0,0,0,1
x_344980406938804,The Sacramento Democratic Alliance is proud to endorse the re-election of Dr. Susan Heredia to the Natomas School Board. https://heredia4natomaskid.wixsite.com/susancampaign2,0,0,0,0,0,0,0,1,1
x_1063664077416298,"Now more than ever, we need to put working families before big corporations and special interests. That's why we're standing with teachers and other essential workers in supporting Karen Smythe for Senate District 41.  This election, send a message that it's time to put people over profit by voting on the Working Families Party ballot line (Row D) for Joe Biden and Karen Smythe!",0,0,0,0,0,0,0,1,1
x_1026701224429564,Joe Biden won't stop the violence. He's too weak to lead America. He's the wrong man for these times.,0,0,0,0,0,0,0,1,0
x_343177883461595,"While Deanne is committed to putting the people first, Zordani is bankrolled by Speaker Madigan and his tax-hiking agenda.",0,0,0,0,0,0,0,1,1
x_245018473541434,"""North Carolina is locked down... solve that problem by voting for @[162676813937511:274:Dan Forest].""  - @[1220332944702810:274:President Donald J. Trump]",0,0,0,0,0,0,0,1,1
x_1119962508420721,"Ron is as conservative as it gets, but this year he's not voting for Trump.  Millions of Republican voters, like Ron, cannot support the president in November.  His cruelty, incompetence, and contempt for conservative values make him unfit to lead this nation.  Listen to their stories.",0,0,0,0,0,0,0,1,1
x_2374446412859556,"With only 8 short weeks left until the election, we need your help to defeat Trump and Trumpism.   ""Donald Trump is the first president in my lifetime who does not try to unite the American people—does not even pretend to try. Instead, he tries to divide us."" —General James Mattis  Will you donate $13 today to make sure this ad stays on air until election day?",1,0,0,0,0,0,0,0,0
x_262286035222532,"Between fake news, celebrity endorsements and click bait headlines, its hard to know what’s real this election cycle, and what’s theater. Everyone’s telling us to vote but no ones talking to us with any substance, or about the issues that matter to us.   This voter guide is designed to get to the facts - what exactly are the differences between Trump and Biden? As Florida kids, we can’t afford to sit out this election. We know what it’s like to live in a state run by the most racist far-right politicians this country has to offer. We know about their agenda and what it means for us: what it feels like when they take away what little healthcare we have, when they force us back to school in unsafe conditions, when they side with the NRA or the cops instead of our fallen peers, when they make it legal for us to be run over in the streets while protesting.  We’re bringing you the facts because we know firsthand that there are real concrete differences between candidates and that those differences mean things, they are a matter of life or death for some of us.",0,0,0,0,0,0,0,1,0
x_2733788343605499,Don’t miss your chance to vote early!  🗳  Fill out your ballot for John Hickenlooper 🗳  Return it to a drop box by 7 PM on 11/3 🗳  Make your voice heard.,0,0,0,1,0,0,0,1,1
x_346332536511145,"Senator Kevin Braun helped lead the charge to allow Kansans to vote on the Value Them Both Constitutional Amendment.  As the only KFL endorsed candidate in this race, Senator Braun won't stop fighting to protect our most vulnerable.",0,0,0,0,0,0,0,1,1
x_1037314316723697,"Susan Collins voted with Trump 94% of the time, including votes to gut protections for Mainers with pre-existing conditions and cuts to your Social Security and Medicare.",0,0,0,0,0,0,0,1,1
x_1571324036387861,Stephanie Bice and Mary Fallin: Bullying Oklahoma kids out of school funding,0,0,0,0,0,0,0,1,1
x_1061802297589240,📣 Election Day is almost here! Stephanie Bice is running to unseat Oklahoma’s ONLY Dem. Kendra Horn. But Nancy Pelosi and liberal special interests are pouring MILLIONS into this “toss-up” race to keep their control of this seat and the House majority. Oklahomans deserve a leader like Stephanie who will fight for them and put their interests first. Stand with Stephanie and Republicans to win on Nov. 3rd. Chip in $10 today! →,1,0,0,0,0,0,0,0,0
x_2090755501048021,"It is a privilege to be your state senator and lead the fight to make life better for families, local businesses, veterans and retirees as an independent voice for our communities. I would be honored to earn your vote this November to continue working for you.",0,0,0,0,0,0,0,1,1
x_2900337810252564,President Obama has endorsed Reverend Raphael Warnock for the U.S Senate. Warnock has pledged to fight for voting rights and health care that every Georgian can afford.,0,0,0,0,0,0,0,1,0
x_270273394285136,"Exposed!  Accuracy in Media exposes Iowa Senate candidate’s support for Black Lives Matter!  Black Lives Matter has brought violence and destruction to Iowa. Senate candidate Theresa Greenfield refuses to endorse the group publicly. Privately, however, she told our investigator something entirely different.'  Is Greenfield a two-faced politician?",0,0,0,0,0,0,0,0,0
x_1038582733261372,I am a true fighter. Electing me means your needs will no longer fall on deaf ears. These are the same needs my family has. Vote for me on November 3rd. www.JaredWestForFlorida.com,0,0,0,1,0,0,0,0,1
x_357962552059883,It’s time to vote for freedom first in North Carolina. Thom Tillis will always be a defender of YOUR 2nd Amendment rights. Vote Thom Tillis for Senate.,0,0,0,0,0,0,0,1,0
x_1844818515670362,"""This is literally a living and death situation."" @[466744043373670:274:ASAP Ferg] reminds everyone we have the power to make change.  Make your voice heard. VOTE. www.PullUp.Vote #PullUpAndVote",0,0,0,1,0,0,0,1,0
x_1035397353582943,TRUMP NATION!! 🇺🇸 (50% OFF Flags Sale) 👉👉 trumprack.com/flags,0,0,1,0,0,0,0,0,0
x_2667254073525007,"As your State Representative for the 176th district, Claudette Williams will fund local schools and hold the line on property taxes. She is ready to serve and is just getting started.",0,0,0,0,0,0,0,1,1
x_1222975438062141,"From protecting the right to life to cracking down on gangs, drug cartels, human trafficking, and terrorism, there's no doubt that @[153080620724:274:Donald J. Trump] is the most pro-life President in modern history. LIKE & SHARE if you agree!",0,0,0,0,0,0,0,0,0
x_334654201068410,"Erin Zwiener has our enthusiastic endorsement for Texas State House of Representatives. She fights for clean air and water, conservation, and renewable energy. Early voting starts October 13. Make a plan to vote for Erin: https://www.votetexas.gov/faq/early-voting.html",0,0,0,1,0,0,0,0,1
x_2804094889802788,"From coastal property loss to declining crop yields, climate change is impacting us all. But Joe Biden has a plan. Watch now.",0,0,0,0,0,0,0,1,1
x_762006211030357,"D.C. Republicans have launched new attack ads, right out of Trump's playbook, where they flat-out lie about Dan's record. We can't let them get away with it.  We have a real shot at beating Chris Sununu, but we need your help. Chip in $5 or more to help Dan fight back against the attacks >> https://bit.ly/3d2YzvV",1,0,0,0,0,0,0,0,0
x_358328688772620,"""Our job now is to have a vision for a new future. And that's what David is about.""   Honored to have @[124955570892789:274:Bernie Sanders]' endorsement in this race. #vtpoli",0,0,0,0,0,0,0,0,1
x_773293090068796,We need a new president who on Day 1 knows what to do in order to slow the spread of the coronavirus and get folks back to work.,0,0,0,0,0,0,0,1,1
x_1322280078111979,I'm honored to have President Trump's endorsement. Polls are open and Election Day is Nov. 3rd. Find your poll & vote Mitch!,0,0,0,0,0,0,0,1,1
x_1743571819140047,The best of science around the world agrees: climate change is our number one threat. Anyone who denies this is not being truthful.  Our current Congressman voted at least 9 times to block renewable energy funding. His record is stunning. His views archaic and dangerous.  Visit our website to learn more and join our fight.,0,0,0,0,0,0,0,1,1
x_1234470976905971,"Please join Nikki Haley and support Senator Lindsey Graham by donating $5, $10, or $25 today!   ""He's fought for us, it's time for us to fight for him.""  🇺🇸",1,0,0,0,0,0,0,0,0
x_1060726401010047,KENOSHA WISCONSIN,0,0,0,0,0,0,0,1,1
x_1971790222951133,This election will decide the future of our country for generations to come. Join us in the fight against socialism today!,1,0,0,0,0,0,0,0,0
x_1004286576700334,McConnell is threatening to break his own rule and vote on Ginsburg's replacement. Add your name to tell Mitch to wait until 2021.,0,1,0,0,0,0,1,0,0
x_1332853776884870,"Donald Trump just picked Amy Coney Barrett for the Supreme Court.  With so much on the line, we can’t allow the voters to not have their say. There should be no vote until after the inauguration. Will you sign your name to call for a ‘no’ vote on Amy Coney Barrett in the U.S. Senate?",0,0,0,0,0,0,1,0,0
x_653489715369793,The math in Albany just doesn't add up! We need a financial professional like Bill Weber in the State Senate. He will be the only Certified Public Accountant in the legislature. His experience with budgets and forensic accounting will help him keep a watchful eye over spending and ensure COVID-19 recovery funds go where they belong. Share this video if you're ready to send Bill Weber to the State Senate! #WeberForSenate,0,0,0,0,0,0,0,1,1
x_1009412042866048,"Wanna really tick off Donald Trump? Sign up to vote by mail. He knows if you do, he’ll lose. It’s a win-win for us. A lose-lose for him."",""¿Quieres molestar a Donald Trump? Inscríbete para votar por correo. Sabe que si lo haces, perderá. Es una doble ganancia para nosotros y una doble pérdida para él.",0,0,0,1,0,0,0,0,1
